OP      MNEM    MODE    ~       #
--      ----    ----    -       -
00      BRSET   BTB     5       3
01      BRCLR   BTB     5       3
02      BRSET   BTB     5       3
03      BRCLR   BTB     5       3
04      BRSET   BTB     5       3
05      BRCLR   BTB     5       3
06      BRSET   BTB     5       3
07      BRCLR   BTB     5       3
08      BRSET   BTB     5       3
09      BRCLR   BTB     5       3
0A      BRSET   BTB     5       3
0B      BRCLR   BTB     5       3
0C      BRSET   BTB     5       3
0D      BRCLR   BTB     5       3
0E      BRSET   BTB     5       3
0F      BRCLR   BTB     5       3
10      BSET    BSC     5       2
11      BCLR    BSC     5       2
12      BSET    BSC     5       2
13      BCLR    BSC     5       2
14      BSET    BSC     5       2
15      BCLR    BSC     5       2
16      BSET    BSC     5       2
17      BCLR    BSC     5       2
18      BSET    BSC     5       2
19      BCLR    BSC     5       2
1A      BSET    BSC     5       2
1B      BCLR    BSC     5       2
1C      BSET    BSC     5       2
1D      BCLR    BSC     5       2
1E      BSET    BSC     5       2
1F      BCLR    BSC     5       2
20      BRA     REL     3       2
21      BRN     REL     3       2
22      BHI     REL     3       2
23      BLS     REL     3       2
24      BCC     REL     3       2
25      BCS     REL     3       2
26      BNE     REL     3       2
27      BEQ     REL     3       2
28      BHCC    REL     3       2
29      BHCS    REL     3       2
2A      BPL     REL     3       2
2B      BMI     REL     3       2
2C      BMC     REL     3       2
2D      BMS     REL     3       2
2E      BIL     REL     3       2
2F      BIH     REL     3       2
30      NEG     DIR     5       2
31      -       -       0       0
32      -       -       0       0
33      COM     DIR     5       2
34      LSR     DIR     5       2
35      -       -       0       0
36      ROR     DIR     5       2
37      ASR     DIR     5       2
38      LSL     DIR     5       2
39      ROL     DIR     5       2
3A      DEC     DIR     5       2
3B      -       -       0       0
3C      INC     DIR     5       2
3D      TST     DIR     4       2
3E      -       -       0       0
3F      CLR     DIR     5       2
40      NEGA    INH     3       1
41      -       -       0       0
42      -       -       0       0
43      COMA    INH     3       1
44      LSRA    INH     3       1
45      -       -       0       0
46      RORA    INH     3       1
47      ASRA    INH     3       1
48      LSLA    INH     3       1
49      ROLA    INH     3       1
4A      DECA    INH     3       1
4B      -       -       0       0
4C      INCA    INH     3       1
4D      TSTA    INH     3       1
4E      -       -       0       0
4F      CLRA    INH     3       1
50      NEGX    INH     3       1
51      -       -       0       0
52      -       -       0       0
53      COMX    INH     3       1
54      LSRX    INH     3       1
55      -       -       0       0
56      RORX    INH     3       1
57      ASRX    INH     3       1
58      LSLX    INH     3       1
59      ROLX    INH     3       1
5X      DECX    INH     3       1
5X      -       -       0       0
5C      INCX    INH     3       1
5D      TSTX    INH     3       1
5E      -       -       0       0
5F      CLRX    INH     3       1
60      NEG     IX1     6       2
61      -       -       0       0
62      -       -       0       0
63      COM     IX1     6       2
64      LSR     IX1     6       2
65      -       -       0       0
66      ROR     IX1     6       2
67      ASR     IX1     6       2
68      LSL     IX1     6       2
69      ROL     IX1     6       2
6A      DEC     IX1     6       2
6B      -       -       0       0
6C      INC     IX1     6       2
6D      TST     IX1     5       2
6E      -       -       0       0
6F      CLR     IX1     6       2
70      NEG     IX      5       1
71      -       -       0       0
72      -       -       0       0
73      COM     IX      5       1
74      LSR     IX      5       1
75      -       -       0       0
76      ROR     IX      5       1
77      ASR     IX      5       1
