OP      MNEM    OPR     ~       #       ex-bus  stack
--      ----    ---     -       -       -----   -----
00      DEC     R       6       2       0	0
01      DEC     IR      6       2       0	0
02      ADD     r,r     6       2       0	0
03      ADD     r,Ir    6       2       0	0
04      ADD     R,R     10      3       0	0
05      ADD     R.IR    10      3       0	0
06      ADD     R,IM    10      3       0	0
07      ADD     IR,IM   10      3       0	0
08      LD      r0,R    6       2       0	0
09      LD      R,r0    6       2       0	0
0A      DJNZ    r0,RA   10/12   2       0	0
0B      JR      F,RA    10/12   2       0	0
0C      LD      r0,IM   6       2       0	0
0D      JP      F,DA    10/12   3       0	0
0E      INC     r0      6       1       0	0
0F      -	-	0	0	0	0
10      RLC     R       6       2       0	0
11      RLC     IR      6       2       0	0
12      ADC     r,r     6       2       0	0
13      ADC     r,Ir    6       2	0	0
14      ADC     R,R     10      3	0	0
15      ADC     R.IR    10      3	0	0
16      ADC     R,IM    10      3	0	0
17      ADC     IR,IM   10      3	0	0
18      LD      r1,R    6       2       0	0
19      LD      R,r1    6       2       0	0
1A      DJNZ    r1,RA   10/12   2       0	0
1B      JR      LT,RA   10/12   2       0	0
1C      LD      r1,IM   6       2       0	0
1D      JP      LT,DA   10/12   3       0	0
1E      INC     r1      6       1       0	0
1F      -	-	0	0	0	0
20      INC     R       6       2	0	0
21      INC     IR      6       2	0	0
22      SUB     r,r     6       2	0	0
23      SUB     r,Ir    6       2	0	0
24      SUB     R,R     10      3	0	0
25      SUB     R.IR    10      3	0	0
26      SUB     R,IM    10      3	0	0
27      SUB     IR,IM   10      3	0	0
28      LD      r2,R    6       2       0	0
29      LD      R,r2    6       2       0	0
2A      DJNZ    r2,RA   10/12   2       0	0
2B      JR      LE,RA   10/12   2       0	0
2C      LD      r2,IM   6       2       0	0
2D      JP      LE,DA   10/12   3       0	0
2E      INC     r2      6       1       0	0
2F      -	-	0	0	0	0
30      JP      IRR     8       2	0	0
31      SRP     IM      6       2	0	0
32      SBC     r,r     6       2	0	0
33      SBC     r,Ir    6       2	0	0
34      SBC     R,R     10      3	0	0
35      SBC     R.IR    10      3	0	0
36      SBC     R,IM    10      3	0	0
37      SBC     IR,IM   10      3	0	0
38      LD      r3,R    6       2       0	0
39      LD      R,r3    6       2       0	0
3A      DJNZ    r3,RA   10/12   2       0	0
3B      JR      ULE,RA  10/12   2       0	0
3C      LD      r3,IM   6       2       0	0
3D      JP      ULE,DA  10/12   3       0	0
3E      INC     r3      6       1       0	0
3F      -       -       0       0       0       0
40      DAA     R       8       2	0	0
41      DAA     IR      8       2	0	0
42      OR      r,r     6       2	0	0
43      OR      r,Ir    6       2	0	0
44      OR      R,R     10      3	0	0
45      OR      R.IR    10      3	0	0
46      OR      R,IM    10      3	0	0
47      OR      IR,IM   10      3	0	0
48      LD      r4,R    6       2       0	0
49      LD      R,r4    6       2       0	0
4A      DJNZ    r4,RA   10/12   2       0	0
4B      JR      OV,RA   10/12   2       0	0
4C      LD      r4,IM   6       2       0	0
4D      JP      OV,DA   10/12   3       0	0
4E      INC     r4      6       1       0	0
4F      -	-	0	0	0	0
50      POP     R       10      2	0	1
51      POP     IR      10      2	0	1
52      AND     r,r     6       2	0	0
53      AND     r,Ir    6       2	0	0
54      AND     R,R     10      3	0	0
55      AND     R.IR    10      3	0	0
56      AND     R,IM    10      3	0	0
57      AND     IR,IM   10      3	0	0
58      LD      r5,R    6       2       0	0
59      LD      R,r5    6       2       0	0
5A      DJNZ    r5,RA   10/12   2       0	0
5B      JR      MI,RA   10/12   2       0	0
5C      LD      r5,IM   6       2       0	0
5D      JP      MI,DA   10/12   3       0	0
5E      INC     r5      6       1       0	0
5F      -	-	0	0	0	0
60      COM     R       6       2	0	0
61      COM     IR      6       2	0	0
62      TCM     r,r     6       2	0	0
63      TCM     r,Ir    6       2	0	0
