"step","#HOLD","#IO","#ACK","#VA","#INT","Q","E"
"0","1","1","0","0","1","1","0"
"1","1","1","0","0","1","1","0"
"2","1","1","0","0","1","1","1"
"3","1","1","0","0","1","1","1"
"4","1","1","0","0","1","0","1"
"5","1","1","0","0","1","0","1"
"6","1","1","0","1","1","0","0"
"7","1","1","1","1","1","0","0"
"8","1","1","1","1","1","0","0"
"9","1","1","1","0","1","1","0"
"10","1","1","1","0","1","1","0"
"11","1","1","1","0","1","1","1"
"12","1","1","1","0","1","1","1"
"13","1","1","1","0","1","0","1"
"14","1","1","1","0","1","0","1"
"15","1","1","1","1","1","0","0"
"16","1","1","1","1","1","0","0"
"17","1","1","1","0","1","1","0"
"18","1","1","1","0","1","1","0"
"19","1","1","1","0","1","1","1"
"20","1","1","1","0","1","1","1"
"21","1","1","1","0","1","0","1"
"22","1","1","1","0","1","0","1"
"23","1","1","1","1","1","0","0"
"24","1","1","1","1","1","0","0"
"25","1","1","1","0","1","1","0"
"26","1","1","1","0","1","1","0"
"27","1","1","1","0","1","1","1"
"28","1","1","1","0","1","1","1"
"29","1","1","1","0","1","0","1"
"30","1","1","1","0","1","0","1"
"31","1","1","1","1","1","0","0"
"32","1","1","1","1","1","0","0"
"33","1","1","1","0","1","1","0"
"34","1","0","1","0","1","1","0"
"35","1","0","1","0","1","1","0"
"36","1","0","1","0","1","1","1"
"37","1","0","1","0","1","1","1"
"38","1","0","1","0","0","0","1"
"39","1","0","1","0","0","0","1"
"40","1","0","1","0","0","0","1"
"41","1","0","1","0","0","0","1"
"42","1","0","1","0","0","0","1"
"43","1","0","1","0","0","0","1"
"44","1","0","1","0","0","0","1"
"45","1","0","1","0","0","0","1"
"46","1","0","1","0","0","0","1"
"47","1","0","1","0","0","0","1"
"48","1","0","1","0","0","0","1"
"49","1","0","1","0","0","0","1"
"50","0","0","1","0","0","0","1"
"51","0","0","1","0","0","0","1"
"52","0","0","1","0","0","0","1"
"53","0","0","1","0","0","0","1"
"54","0","0","1","0","0","0","1"
"55","0","0","1","0","0","0","1"
"56","0","0","1","0","0","0","1"
"57","0","0","1","0","0","0","1"
"58","0","0","1","0","0","0","1"
"59","0","0","1","0","0","0","1"
"60","0","0","1","0","0","0","1"
"61","0","0","1","0","0","0","1"
"62","0","0","1","0","0","0","1"
"63","0","0","1","0","0","0","1"
"64","0","0","1","0","0","0","1"
"65","0","0","1","0","0","0","1"
"66","0","0","1","0","0","0","1"
"67","0","0","1","0","0","0","1"
"68","0","0","1","0","0","0","1"
"69","0","0","1","0","0","0","1"
"70","0","0","1","0","0","0","1"
"71","1","0","1","0","0","0","1"
"72","1","0","1","0","0","0","1"
"73","1","0","1","0","0","0","1"
"74","1","0","1","0","0","0","1"
"75","1","0","1","0","0","0","1"
"76","1","0","1","0","0","0","1"
"77","1","0","1","0","0","0","1"
"78","1","0","1","0","0","0","1"
"79","1","0","1","0","0","0","1"
"80","1","1","1","0","0","0","1"
"81","1","1","1","0","0","0","1"
"82","1","1","1","0","0","0","1"
"83","1","1","1","0","0","0","1"
"84","1","1","1","0","0","0","1"
"85","1","1","1","0","0","0","1"
"86","1","1","0","1","1","0","0"
"87","1","1","0","1","1","0","0"
"88","1","1","0","0","1","1","0"
"89","1","1","0","0","1","1","0"
"90","1","1","0","0","1","1","1"
"91","1","1","1","0","1","1","1"
"92","1","1","1","0","1","1","1"
"93","1","1","1","0","1","0","1"
"94","1","1","1","0","1","0","1"
"95","1","1","1","1","1","0","0"
"96","1","1","1","1","1","0","0"
"97","1","1","1","0","1","1","0"
"98","1","1","1","0","1","1","0"
"99","1","1","1","0","1","1","1"
"100","1","1","1","0","1","1","1"
"101","1","1","1","0","1","0","1"
"102","1","1","1","0","1","0","1"
"103","1","1","1","1","1","0","0"
"104","1","1","1","1","1","0","0"
"105","1","1","1","0","1","1","0"
"106","1","1","1","0","1","1","0"
"107","1","1","1","0","1","1","1"
"108","1","1","1","0","1","1","1"
"109","1","1","1","0","1","0","1"
"110","1","1","1","0","1","0","1"
