"step","CLKx4","Q","E","#VA","#IO","#INT","#ACK","#HOLD"
"0","0","0","0","1","1","1","0","1"
"1","0","0","0","1","1","1","1","1"
"2","1","1","0","0","1","1","1","1"
"3","0","1","0","0","1","1","1","1"
"4","1","1","1","0","1","1","1","1"
"5","0","1","1","0","1","1","1","1"
"6","1","0","1","0","1","1","1","1"
"7","0","0","1","0","1","1","1","1"
"8","1","0","0","1","1","1","1","1"
"9","0","0","0","1","1","1","1","1"
"10","1","1","0","0","1","1","1","1"
"11","0","1","0","0","1","1","1","1"
"12","1","1","1","0","1","1","1","1"
"13","0","1","1","0","1","1","1","1"
"14","1","0","1","0","1","1","1","1"
"15","0","0","1","0","1","1","1","1"
"16","1","0","0","1","1","1","1","1"
"17","0","0","0","1","1","1","1","1"
"18","1","1","0","0","1","1","1","1"
"19","0","1","0","0","1","1","1","1"
"20","1","1","1","0","1","1","1","1"
"21","0","1","1","0","1","1","1","1"
"22","1","0","1","0","1","1","1","1"
"23","0","0","1","0","1","1","1","1"
"24","1","0","0","1","1","1","1","1"
"25","0","0","0","1","1","1","1","1"
"26","1","1","0","0","1","1","1","1"
"27","0","1","0","0","1","1","1","1"
"28","1","1","1","0","1","1","1","1"
"29","0","1","1","0","1","1","1","1"
"30","1","0","1","0","1","1","1","1"
"31","0","0","1","0","1","1","1","1"
"32","1","0","0","1","1","1","1","1"
"33","0","0","0","1","1","1","1","1"
"34","1","1","0","0","1","1","1","1"
"35","0","1","0","0","1","1","1","1"
"36","1","1","1","0","1","1","1","1"
"37","0","1","1","0","1","1","1","1"
"38","1","0","1","0","1","1","1","1"
"39","0","0","1","0","1","1","1","1"
"40","1","0","0","1","1","1","1","1"
"41","0","0","0","1","1","1","1","1"
"42","1","1","0","0","1","1","1","1"
"43","0","1","0","0","1","1","1","1"
"44","1","1","1","0","1","1","1","1"
"45","0","1","1","0","1","1","1","1"
"46","1","0","1","0","1","1","1","1"
"47","0","0","1","0","1","1","1","1"
"48","1","0","0","1","1","1","1","1"
"49","0","0","0","1","1","1","1","1"
"50","0","0","0","1","0","1","1","1"
"51","1","1","0","0","0","1","1","1"
"52","0","1","0","0","0","1","1","1"
"53","1","1","1","0","0","1","1","1"
"54","0","1","1","0","0","1","1","1"
"55","1","0","1","0","0","0","1","1"
"56","0","0","1","0","0","0","1","1"
"57","1","0","1","0","0","0","1","1"
"58","0","0","1","0","0","0","1","1"
"59","1","0","1","0","0","0","1","1"
"60","0","0","1","0","0","0","1","1"
"61","1","0","1","0","0","0","1","1"
"62","0","0","1","0","0","0","1","1"
"63","1","0","1","0","0","0","1","1"
"64","0","0","1","0","0","0","1","1"
"65","1","0","1","0","0","0","1","1"
"66","0","0","1","0","0","0","1","1"
