op nemo operand  mode clock  # cycle       sequence
-- ---- -------- ---- ------ - ------      --------
00 NOP  -        -    3      1 1N          1:N
01 XCH  A,E      -    5      1 1N          1:N
02 -    -        -    -      - -           -
03 -    -        -    -      - -           -
04 -    -        -    -      - -           -
05 -    -        -    -      - -           -
06 LD   A,S      -    3      1 1N          1:N
07 LD   S,A      -    3      1 1N          1:N
08 PUSH EA       PUSH 8      1 1wWN@1N     1:w:W:N
09 LD   T,EA     -    4      1 1N          1:N
0A PUSH A        PUSH 5      1 1WN@1N      1:W:N
0B LD   EA,T     -    4      1 1N          1:N
0C SR   EA       -    4      1 1N          1:N
0D DIV  EA,T     -    43     1 1N          1:N
0E SL   A        -    3      1 1N          1:N
0F SL   EA       -    4      1 1N          1:N
10 CALL 0        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
11 CALL 1        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
12 CALL 2        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
13 CALL 3        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
14 CALL 4        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
15 CALL 5        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
16 CALL 6        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
17 CALL 7        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
18 CALL 8        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
19 CALL 9        PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1A CALL 10       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1B CALL 11       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1C CALL 12       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1D CALL 13       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1E CALL 14       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
1F CALL 15       PUSH 16     1 1wWVvA@1VvA 1:w:W:V:v:A
20 JSR  a        PUSH 16     3 12wW3A@123A 1:2:w:W:3:A
21 -    -        -    -      - -           -
22 PLI  P2,=a    PUSH 16     3 12wW3N@123N 1:2:w:W:3:N
23 PLI  P3,=a    PUSH 16     3 12wW3N@123N 1:2:w:W:3:N
24 JMP  a        -    9      3 123A        1:2:3:A
25 LD   SP,=a    -    9      3 123N        1:2:3:N
26 LD   P2,=a    -    9      3 123N        1:2:3:N
27 LD   P3,=a    -    9      3 123N        1:2:3:N
28 -    -        -    -      - -           -
29 -    -        -    -      - -           -
2A -    -        -    -      - -           -
2B -    -        -    -      - -           -
2C MPY  EA,T     -    37     1 1N          1:N
2D BND  a        -    9/7    2 12B         1:2:B
2E SSM  P2       SSM  7/5+4n 1 1Ss@1s      1:S:s
2F SSM  P3       SSM  7/5+4n 1 1Ss@1s      1:S:s
30 LD   EA,PC    -    4      1 1N          1:N
31 LD   EA,SP    -    4      1 1N          1:N
32 LD   EA,P2    -    4      1 1N          1:N
33 LD   EA,P3    -    4      1 1N          1:N
34 -    -        -    -      - -           -
35 -    -        -    -      - -           -
36 -    -        -    -      - -           -
37 -    -        -    -      - -           -
38 POP  A        POP  6      1 1RN@1N      1:R:N
39 AND  S,=n     -    5      2 12N         1:2:N
3A POP  EA       POP  9      1 1RrN@1N     1:R:r:N
3B OR   S,=n     -    5      2 12N         1:2:N
3C SR   A        -    3      1 1N          1:N
3D SRL  A        -    3      1 1N          1:N
3E RR   A        -    3      1 1N          1:N
3F RRL  A        -    3      1 1N          1:N
40 LD   A,E      -    4      1 1N          1:N
41 -    -        -    -      - -           -
42 -    -        -    -      - -           -
43 -    -        -    -      - -           -
44 LD   PC,EA    -    5      1 1n          1:n
45 LD   SP,EA    -    5      1 1N          1:N
46 LD   P2,EA    -    5      1 1N          1:N
47 LD   P3,EA    -    5      1 1N          1:N
48 LD   E,A      -    4      1 1N          1:N
49 -    -        -    -      - -           -
4A -    -        -    -      - -           -
4B -    -        -    -      - -           -
4C XCH  EA,PC    -    7      1 1n          1:n
4D XCH  EA,SP    -    7      1 1N          1:N
4E XCH  EA,P2    -    7      1 1N          1:N
4F XCH  EA,P3    -    7      1 1N          1:N
50 AND  A,E      -    4      1 1N          1:N
51 -    -        -    -      - -           -
52 -    -        -    -      - -           -
53 -    -        -    -      - -           -
54 PUSH PC       PUSH 8      1 1wWN@1N     1:w:W:N
55 -    -        -    -      - -           -
56 PUSH P2       PUSH 8      1 1wWN@1N     1:w:W:N
57 PUSH P3       PUSH 8      1 1wWN@1N     1:w:W:N
58 OR   A,E      -    4      1 1N          1:N
59 -    -        -    -      - -           -
5A -    -        -    -      - -           -
5B -    -        -    -      - -           -
5C RET  -        POP  10     1 1RrP@1n     1:R:r:P
5D -    -        -    -      - -           -
5E POP  P2       POP  10     1 1RrN@1N     1:R:r:N
5F POP  P3       POP  10     1 1RrN@1N     1:R:r:N
60 XOR  A,E      -    4      1 1N          1:N
61 -    -        -    -      - -           -
62 -    -        -    -      - -           -
63 -    -        -    -      - -           -
64 BP   a        -    5      2 12B         1:2:B
65 -    -        -    -      - -           -
66 BP   d,P2     -    5      2 12n         1:2:n
67 BP   d,P3     -    5      2 12n         1:2:n
68 -    -        -    -      - -           -
69 -    -        -    -      - -           -
6A -    -        -    -      - -           -
6B -    -        -    -      - -           -
6C BZ   a        -    5      2 12B         1:2:B
6D -    -        -    -      - -           -
6E BZ   d,P2     -    5      2 12n         1:2:n
6F BZ   d,P3     -    5      2 12n         1:2:n
70 ADD  A,E      -    4      1 1N          1:N
71 -    -        -    -      - -           -
