op  nemo  oper   ~  #  sequence
--  ----  ----  --  -  --------
00  -     -      0  0  -
01  NOP   -      2  1  1:N:N
02  -     -      0  0  -
03  -     -      0  0  -
04  -     -      0  0  -
05  -     -      0  0  -
06  TAP   -      2  1  1:N:N
07  TPA   -      2  1  1:N:N
08  INX   -      4  1  1:N:n:n:N
09  DEX   -      4  1  1:N:n:n:N
0A  CLV   -      2  1  1:N:N
0B  SEV   -      2  1  1:N:N
0C  CLC   -      2  1  1:N:N
0D  SEC   -      2  1  1:N:N
0E  CLI   -      2  1  1:N:N
0F  SEI   -      2  1  1:N:N
10  SBA   -      2  1  1:N:N
11  CBA   -      2  1  1:N:N
12  -     -      0  0  -
13  -     -      0  0  -
14  -     -      0  0  -
15  -     -      0  0  -
16  TAB   -      2  1  1:N:N
17  TBA   -      2  1  1:N:N
18  -     -      0  0  -
19  DAA   -      2  1  1:N:N
1A  -     -      0  0  -
1B  ABA   -      2  1  1:N:N
1C  -     -      0  0  -
1D  -     -      0  0  -
1E  -     -      0  0  -
1F  -     -      0  0  -
20  BRA   r8     4  2  1:2:n:n:j
21  -     -      0  0  -
22  BHI   r8     4  2  1:2:n:n:j
23  BLS   r8     4  2  1:2:n:n:j
24  BCC   r8     4  2  1:2:n:n:j
25  BCS   r8     4  2  1:2:n:n:j
26  BNE   r8     4  2  1:2:n:n:j
27  BEQ   r8     4  2  1:2:n:n:j
28  BVC   r8     4  2  1:2:n:n:j
29  BVS   r8     4  2  1:2:n:n:j
2A  BPL   r8     4  2  1:2:n:n:j
2B  BMI   r8     4  2  1:2:n:n:j
2C  BGE   r8     4  2  1:2:n:n:j
2D  BLT   r8     4  2  1:2:n:n:j
2E  BGT   r8     4  2  1:2:n:n:j
2F  BLE   r8     4  2  1:2:n:n:j
30  TSX   -      4  1  1:N:n:n:N
31  INS   -      4  1  1:N:n:n:N
32  PULA  -      4  1  1:N:n:R:N
33  PULB  -      4  1  1:N:n:R:N
34  DES   -      4  1  1:N:n:n:N
35  TXS   -      4  1  1:N:n:n:N
36  PSHA  -      4  1  1:N:W:n:N
37  PSHB  -      4  1  1:N:W:n:N
38  -     -      0  0  -
39  RTS   -      5  1  1:N:n:R:r:J
3A  -     -      0  0  -
3B  RTI   -     10  1  1:N:n:R:r:r:r:r:r:r:J
3C  -     -      0  0  -
3D  -     -      0  0  -
3E  WAI   -      9  1  1:N:w:W:W:W:W:W:W:X
3F  SWI   -     12  1  1:N:w:W:W:W:W:W:W:n:V:v:J
40  NEGA  -      2  1  1:N:N
41  -     -      0  0  -
42  -     -      0  0  -
43  COMA  -      2  1  1:N:N
44  LSRA  -      2  1  1:N:N
45  -     -      0  0  -
