op  nemo  oper   ~  #  sequence
--  ----  ----  --  -  --------
00  -     -      0  0  -
01  NOP   -      1  1  0:N
02  -     -      0  0  -
03  -     -      0  0  -
04  LSRD  -      1  1  0:N
05  ASLD  -      1  1  0:N
06  TAP   -      1  1  0:N
07  TPA   -      1  1  0:N
08  INX   -      1  1  0:N
09  DEX   -      1  1  0:N
0A  CLV   -      1  1  0:N
0B  SEV   -      1  1  0:N
0C  CLC   -      1  1  0:N
0D  SEC   -      1  1  0:N
0E  CLI   -      1  1  0:N
0F  SEI   -      1  1  0:N
10  SBA   -      1  1  0:N
11  CBA   -      1  1  0:N
12  -     -      0  0  -
13  -     -      0  0  -
14  -     -      0  0  -
15  -     -      0  0  -
16  TAB   -      1  1  0:N
17  TBA   -      1  1  0:N
18  XGDX  -      2  1  0:N:x
19  DAA   -      2  1  0:N:x
1A  SLP   -      4  1  0:N:x:x:N
1B  ABA   -      1  1  0:N
1C  -     -      0  0  -
1D  -     -      0  0  -
1E  -     -      0  0  -
1F  -     -      0  0  -
20  BRA   r8     3  2  0:2:x:j
21  BRN   r8     3  2  0:2:x:j
22  BHI   r8     3  2  0:2:x:j
23  BLS   r8     3  2  0:2:x:j
24  BCC   r8     3  2  0:2:x:j
25  BCS   r8     3  2  0:2:x:j
26  BNE   r8     3  2  0:2:x:j
27  BEQ   r8     3  2  0:2:x:j
28  BVC   r8     3  2  0:2:x:j
29  BVS   r8     3  2  0:2:x:j
2A  BPL   r8     3  2  0:2:x:j
2B  BMI   r8     3  2  0:2:x:j
2C  BGE   r8     3  2  0:2:x:j
2D  BLT   r8     3  2  0:2:x:j
2E  BGT   r8     3  2  0:2:x:j
2F  BLE   r8     3  2  0:2:x:j
30  TSX   -      1  1  0:N
31  INS   -      1  1  0:N
32  PULA  -      3  1  0:N:x:R
33  PULB  -      3  1  0:N:x:R
34  DES   -      1  1  0:N
35  TXS   -      1  1  0:N
36  PSHA  -      4  1  0:N:x:W:N
37  PSHB  -      4  1  0:N:x:W:N
38  PULX  -      4  1  0:N:x:R:r
39  RTS   -      5  1  0:N:x:R:r:J
3A  ABX   -      1  1  0:N
3B  RTI   -     10  1  0:N:x:R:r:r:r:r:r:r:J
3C  PSHX  -      5  1  0:N:x:w:W:N
3D  MUL   -      7  1  0:N:x:x:x:x:x:x
3E  WAI   -      9  1  0:N:x:w:W:W:W:W:W:W
3F  SWI   -     12  1  0:N:x:w:W:W:W:W:W:W:V:v:J
40  NEGA  -      1  1  0:N
41  -     -      0  0  -
42  -     -      0  0  -
43  COMA  -      1  1  0:N
44  LSRA  -      1  1  0:N
45  -     -      0  0  -
46  RORA  -      1  1  0:N
