op  nemo       oper    ~      #     sequence
--  ----       -----  --     --     --------
00  -          -       -      -     -
01  -          -       -      -     -
02  -          -       -      -     -
03  -          -       -      -     -
04  -          -       -      -     -
05  -          -       -      -     -
06  -          -       -      -     -
07  -          -       -      -     -
08  -          -       -      -     -
09  -          -       -      -     -
0A  -          -       -      -     -
0B  -          -       -      -     -
0C  -          -       -      -     -
0D  -          -       -      -     -
0E  -          -       -      -     -
0F  -          -       -      -     -
10  -          -       -      -     -
11  -          -       -      -     -
12  -          -       -      -     -
13  -          -       -      -     -
14  -          -       -      -     -
15  -          -       -      -     -
16  -          -       -      -     -
17  -          -       -      -     -
18  -          -       -      -     -
19  -          -       -      -     -
1A  -          -       -      -     -
1B  -          -       -      -     -
1C  -          -       -      -     -
1D  -          -       -      -     -
1E  -          -       -      -     -
1F  -          -       -      -     -
20  -          -       -      -     -
21  LBRN       r16     4      3     1:2:3:x:N
22  LBHI       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
23  LBLS       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
24  LBCC       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
25  LBCS       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
26  LBNE       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
27  LBEQ       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
28  LBVC       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
29  LBVS       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2A  LBPL       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2B  LBMI       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2C  LBGE       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2D  LBLT       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2E  LBGT       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
2F  LBLE       r16     4+/4   3     1:2:3:x:N@1:2:3:x:x:k/1:2:3:x:k
30  ADDR       r,r     3      2     1:2:x:N
31  ADCR       r,r     3      2     1:2:x:N
32  SUBR       r,r     3      2     1:2:x:N
33  SBCR       r,r     3      2     1:2:x:N
34  ANDR       r,r     3      2     1:2:x:N
35  ORR        r,r     3      2     1:2:x:N
36  EORR       r,r     3      2     1:2:x:N
37  CMPR       r,r     3      2     1:2:x:N
38  PSHSW      -       5      1     1:N:x:w:W:N
39  PULSW      -       5      1     1:N:x:R:r:N
3A  PSHUW      -       5      1     1:N:x:w:W:N
3B  PULUW      -       5      1     1:N:x:R:r:N
3C  -          -       -      -     -
3D  -          -       -      -     -
3E  -          -       -      -     -
3F  SWI2       -      19/21   1     1:N:x:w:W:W:W:W:W:W:W:W:W:W:W:x:V:v:x:J/1:N:x:w:W:W:W:W:W:W:W:W:W:W:W:W:W:X:V:v:x:J
40  NEGD       -       2/1    1     1:N:N/1:N
41  -          -       -      -     -
42  -          -       -      -     -
43  COMD       -       2/1    1     1:N:N/1:N
44  LSRD       -       2/1    1     1:N:N/1:N
45  -          -       -      -     -
46  RORD       -       2/1    1     1:N:N/1:N
47  ASRD       -       2/1    1     1:N:N/1:N
48  ASLD       -       2/1    1     1:N:N/1:N
49  ROLD       -       2/1    1     1:N:N/1:N
4A  DECD       -       2/1    1     1:N:N/1:N
4B  -          -       -      -     -
4C  INCD       -       2/1    1     1:N:N/1:N
4D  TSTD       -       2/1    1     1:N:N/1:N
4E  -          -       -      -     -
4F  CLRD       -       2/1    1     1:N:N/1:N
50  -          -       -      -     -
51  -          -       -      -     -
52  -          -       -      -     -
53  COMW       -       2/1    1     1:N:N/1:N
54  LSRW       -       2/1    1     1:N:N/1:N
55  -          -       -      -     -
56  RORW       -       2/1    1     1:N:N/1:N
57  -          -       -      -     -
58  -          -       -      -     -
59  ROLW       -       2/1    1     1:N:N/1:N
5A  DECW       -       2/1    1     1:N:N/1:N
5B  -          -       -      -     -
5C  INCW       -       2/1    1     1:N:N/1:N
5D  TSTW       -       2/1    1     1:N:N/1:N
5E  -          -       -      -     -
