op  nemo       oper    ~      #     sequence
--  ----       -----  --     --     --------
00  -          -       -      -     -
01  -          -       -      -     -
02  -          -       -      -     -
03  -          -       -      -     -
04  -          -       -      -     -
05  -          -       -      -     -
06  -          -       -      -     -
07  -          -       -      -     -
08  -          -       -      -     -
09  -          -       -      -     -
0A  -          -       -      -     -
0B  -          -       -      -     -
0C  -          -       -      -     -
0D  -          -       -      -     -
0E  -          -       -      -     -
0F  -          -       -      -     -
10  -          -       -      -     -
11  -          -       -      -     -
12  -          -       -      -     -
13  -          -       -      -     -
14  -          -       -      -     -
15  -          -       -      -     -
16  -          -       -      -     -
17  -          -       -      -     -
18  -          -       -      -     -
19  -          -       -      -     -
1A  -          -       -      -     -
1B  -          -       -      -     -
1C  -          -       -      -     -
1D  -          -       -      -     -
1E  -          -       -      -     -
1F  -          -       -      -     -
20  -          -       -      -     -
21  LBRN       r16     4      3     1:2:3:x:N
22  LBHI       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
23  LBLS       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
24  LBCC       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
25  LBCS       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
26  LBNE       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
27  LBEQ       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
28  LBVC       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
29  LBVS       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2A  LBPL       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2B  LBMI       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2C  LBGE       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2D  LBLT       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2E  LBGT       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
2F  LBLE       r16     4+     3     1:2:3:x:N@1:2:3:x:x:k
30  -          -       -      -     -
31  -          -       -      -     -
32  -          -       -      -     -
33  -          -       -      -     -
34  -          -       -      -     -
35  -          -       -      -     -
36  -          -       -      -     -
37  -          -       -      -     -
38  -          -       -      -     -
39  -          -       -      -     -
3A  -          -       -      -     -
3B  -          -       -      -     -
3C  -          -       -      -     -
3D  -          -       -      -     -
3E  -          -       -      -     -
3F  SWI2       -      19      1     1:N:x:w:W:W:W:W:W:W:W:W:W:W:W:x:V:v:x:J
40  -          -       -      -     -
41  -          -       -      -     -
42  -          -       -      -     -
43  -          -       -      -     -
44  -          -       -      -     -
45  -          -       -      -     -
46  -          -       -      -     -
47  -          -       -      -     -
48  -          -       -      -     -
49  -          -       -      -     -
4A  -          -       -      -     -
4B  -          -       -      -     -
4C  -          -       -      -     -
4D  -          -       -      -     -
4E  -          -       -      -     -
4F  -          -       -      -     -
50  -          -       -      -     -
51  -          -       -      -     -
52  -          -       -      -     -
53  -          -       -      -     -
54  -          -       -      -     -
55  -          -       -      -     -
56  -          -       -      -     -
57  -          -       -      -     -
58  -          -       -      -     -
59  -          -       -      -     -
5A  -          -       -      -     -
5B  -          -       -      -     -
5C  -          -       -      -     -
5D  -          -       -      -     -
5E  -          -       -      -     -
5F  -          -       -      -     -
60  -          -       -      -     -
61  -          -       -      -     -
62  -          -       -      -     -
63  -          -       -      -     -
64  -          -       -      -     -
65  -          -       -      -     -
66  -          -       -      -     -
67  -          -       -      -     -
68  -          -       -      -     -
69  -          -       -      -     -
6A  -          -       -      -     -
6B  -          -       -      -     -
6C  -          -       -      -     -
6D  -          -       -      -     -
6E  -          -       -      -     -
6F  -          -       -      -     -
70  -          -       -      -     -
71  -          -       -      -     -
72  -          -       -      -     -
73  -          -       -      -     -
74  -          -       -      -     -
75  -          -       -      -     -
76  -          -       -      -     -
77  -          -       -      -     -
78  -          -       -      -     -
79  -          -       -      -     -
7A  -          -       -      -     -
7B  -          -       -      -     -
7C  -          -       -      -     -
7D  -          -       -      -     -
7E  -          -       -      -     -
7F  -          -       -      -     -
80  -          -       -      -     -
81  -          -       -      -     -
82  -          -       -      -     -
83  CMPD       #n16    4      3     1:2:3:x:N
84  -          -       -      -     -
85  -          -       -      -     -
86  -          -       -      -     -
87  -          -       -      -     -
88  -          -       -      -     -
89  -          -       -      -     -
8A  -          -       -      -     -
8B  -          -       -      -     -
