OP  MNEM  OPERAND  6502  sc02  r65c  w65c    MNEM  OPERAND  w816
--  ----  -------  ----  ----  ----  ----    ----  -------  ----
00  BRK   -          2     2     2     2     BRK   -          2
01  ORA   (d,X)      2     2     2     2     ORA   (d,X)      2
02  -     -          -     -     -     -     COP   #n         2
03  -     -          -     -     -     -     ORA   d,S        2
04  TSB   d          -     2     2     2     TSB   d          2
05  ORA   d          2     2     2     2     ORA   d          2
06  ASL   d          2     2     2     2     ASL   d          2
07  RMB0  d          -     -     2     2     ORA   [d]        2
08  PHP   -          1     1     1     1     PHP   -          1
09  ORA   #n         2     2     2     2     ORA   #n         2
0A  ASL   A          1     1     1     1     ASL   A          1
0B  -     -          -     -     -     -     PHD   -          1
0C  TSB   a16        -     3     3     3     TSB   a16        3
0D  ORA   a16        3     3     3     3     ORA   a16        3
0E  ASL   a16        3     3     3     3     ASL   a16        3
0F  BBR0  d,r8       -     -     3     3     ORA   a24        4
10  BPL   r8         2     2     2     2     BPL   r8         2
11  ORA   (d),Y      2     2     2     2     ORA   (d),Y      2
12  ORA   (d)        -     2     2     2     ORA   (d)        2
13  -     -          -     -     -     -     IRA   (d,S),Y    2
14  TRB   d          -     2     2     2     TRB   d          2
15  ORA   d,X        2     2     2     2     ORA   d,X        2
16  ASL   d,X        2     2     2     2     ASL   d,X        2
17  RMB1  d          -     -     2     2     ORA   [d],Y      2
18  CLC   -          1     1     1     1     CLC   -          1
19  ORA   a16,Y      3     3     3     3     ORA   a16,Y      2
1A  INC   A          -     1     1     1     INC   A          1
1B  -     -          -     -     -     -     TCS   -          1
1C  TRB   a16        -     3     3     3     TRB   a16        3
1D  ORA   a16,X      3     3     3     3     ORA   a16,X      3
1E  ASL   a16,X      3     3     3     3     ASL   a16,X      3
1F  BBR1  d,r18      -     -     3     3     ORA   a24,X      4
20  JSR   a16        3     3     3     3     JSR   a16        3
21  AND   (d,X)      2     2     2     2     AND   (d,X)      2
22  -     -          -     -     -     -     JSL   a24        4
23  -     -          -     -     -     -     AND   d,S        2
24  BIT   d          2     2     2     2     BIT   d          2
25  AND   d          2     2     2     2     AND   d          2
26  ROL   d          2     2     2     2     ROL   d          2
27  RMB2  d          -     -     2     2     AND   [d]        2
28  PLP   -          1     1     1     1     PLP   -          1
29  AND   #n         2     2     2     2     AND   #n         2
2A  ROL   A          1     1     1     1     ROL   A          1
2B  -     -          -     -     -     -     PLD   -          1
2C  BIT   a16        3     3     3     3     BIT   a16        3
2D  ORA   a16        3     3     3     3     ORA   a16        3
2E  ROL   a16        3     3     3     3     ROL   a16        3
2F  BBR2  d,r8       -     -     3     3     AND   a24,X      4
30  BMI   r8         2     2     2     2     BMI   r8         2
31  AND   (d),Y      2     2     2     2     AND   (d),Y      2
32  AND   (d)        -     2     2     2     AND   (d)        2
33  -     -          -     -     -     -     AND   (d,S),Y    2
34  BIT   d,X        -     2     2     2     BIT   d,X        2
35  AND   d,X        2     2     2     2     AND   d,X        2
36  ROL   d,X        2     2     2     2     ROL   d,X        2
37  RMB3  d          -     -     2     2     AND   [d],Y      2
38  SEC   -          1     1     1     1     SEC   -          1
39  AND   a16,Y      3     3     3     3     AND   a16,Y      3
3A  DEC   A          -     1     1     1     DEC   A          1
3B  -     -          -     -     -     -     TSC   -          1
3C  BIT   a16,X      -     3     3     3     BIT   a16,X      3
3D  AND   a16,X      3     3     3     3     AND   a16,X      3
3E  ROL   a16,X      3     3     3     3     ROL   a16,X      3
3F  BBR3  d,r8       -     -     3     3     AND   a24,X      4
40  RTI   -          1     1     1     1     RTI   -          1
41  EOR   (d,X)      2     2     2     2     EOR   (d,X)      2
42  -     -          -     -     -     -     WDM   #n         -
43  -     -          -     -     -     -     EOR   d,S        2
44  -     -          -     -     -     -     MVP   k,k        3
45  EOR   d          2     2     2     2     EOR   d          2
46  LSR   d          2     2     2     2     LSR   d          2
47  RMB4  d          -     -     2     2     EOR   [d]        2
48  PHA   -          1     1     1     1     PHA   -          1
49  EOR   #n         2     2     2     2     EOR   #n         2
4A  LSR   A          1     1     1     1     LSR   A          1
4B  -     -          -     -     -     -     PHK   -          1
4C  JMP   a16        3     3     3     3     JMP   a16        3
4D  EOR   a16        3     3     3     3     EOR   a16        3
4E  LSR   a16        3     3     3     3     LSR   a16        3
4F  BBR4  d,r8       -     -     3     3     EOR   a24        4
50  BVC   r8         2     2     2     2     BVC   r8         2
51  EOR   (d),Y      2     2     2     2     EOR   (d),Y      2
52  EOR   (d)        -     2     2     2     EOR   (d)        2
53  -     -          -     -     -     -     EOR   (d,S),Y    2
54  -     -          -     -     -     -     MVN   k,k        3
55  EOR   d,X        2     2     2     2     EOR   d,X        2
56  LSR   d,X        2     2     2     2     LSR   d,X        2
57  RMB5  d          -     -     2     2     EOR   [d],Y      2
58  CLI   -          1     1     1     1     CLI   -          1
59  EOR   a16,Y      3     3     3     3     EOR   a16,Y      3
5A  PHY   -          -     1     1     1     PHY   -          1
5B  -     -          -     -     -     -     TCD   -          1
5C  -     -          -     -     -     -     JMP   a24        4
5D  EOR   a16,X      3     3     3     3     EOR   a16,X      3
5E  LSR   a16,X      3     3     3     3     LSR   a16,X      3
5F  BBR5  d,r8       -     -     3     3     EOR   a24,X      4
60  RTS   -          1     1     1     1     RTS   -          1
61  ADC   (d,X)      2     2     2     2     ADC   (d,X)      2
62  -     -          -     -     -     -     PER   r16        3
63  -     -          -     -     -     -     ADC   d,S        2
64  STZ   d          -     2     2     2     STZ   d          2
65  ADC   d          2     2     2     2     ADC   d          2
66  ROR   d          2     2     2     2     ROR   d          2
