op  nemo  opr      #  ~  b  indir
--  ----  -------  -  -  -  -
00  -     -        0  0  0  0
01  LODZ  R1       1  2  0  0
02  LODZ  R2       1  2  0  0
03  LODZ  R3       1  2  0  0
04  LODI  R0,nn    2  2  0  0
05  LODI  R1,nn    2  2  0  0
06  LODI  R2,nn    2  2  0  0
07  LODI  R3,nn    2  2  0  0
08  LODR  R0,rel   2  3  1  1
09  LODR  R1,rel   2  3  1  1
0A  LODR  R2,rel   2  3  1  1
0B  LODR  R3,rel   2  3  1  1
0C  LODA  R0,abs   3  4  1  1
0D  LODA  R1,abs   3  4  1  1
0E  LODA  R2,abs   3  4  1  1
0F  LODA  R3,abs   3  4  1  1
10  -     -        0  0  0  0
11  -     -        0  0  0  0
12  SPSU  -        1  2  0  0
13  SPSL  -        1  2  0  0
14  RETC  EQ       1  3  0  0
15  RETC  GT       1  3  0  0
16  RETC  LT       1  3  0  0
17  RETC  UN       1  3  0  0
18  BCTR  EQ,rel   2  3  0  1
19  BCTR  GT,rel   2  3  0  1
1A  BCTR  LT,rel   2  3  0  1
1B  BCTR  UN,rel   2  3  0  1
1C  BCTA  EQ,abs   3  3  0  1
1D  BCTA  GT,abs   3  3  0  1
1E  BCTA  LT,abs   3  3  0  1
1F  BCTA  UN,abs   3  3  0  1
20  EORZ  R0       1  2  0  0
21  EORZ  R1       1  2  0  0
22  EORZ  R2       1  2  0  0
23  EORZ  R3       1  2  0  0
24  EORI  R0,nn    2  2  0  0
25  EORI  R1,nn    2  2  0  0
26  EORI  R2,nn    2  2  0  0
27  EORI  R3,nn    2  2  0  0
28  EORR  R0,rel   2  3  1  1
29  EORR  R1,rel   2  3  1  1
2A  EORR  R2,rel   2  3  1  1
2B  EORR  R3,rel   2  3  1  1
2C  EORA  R0,abs   3  4  1  1
2D  EORA  R1,abs   3  4  1  1
2E  EORA  R2,abs   3  4  1  1
2F  EORA  R3,abs   3  4  1  1
30  REDC  R0       1  2  1  0
31  REDC  R1       1  2  1  0
32  REDC  R2       1  2  1  0
33  REDC  R3       1  2  1  0
34  RETE  EQ       1  3  0  0
35  RETE  GT       1  3  0  0
36  RETE  LT       1  3  0  0
37  RETE  UN       1  3  0  0
